Date,Close,Volume
06/02/2018,24,302039
07/02/2018,25.14,359791
08/02/2018,22.98,1206146
09/02/2018,23.02,441718
12/02/2018,23.5,260710
13/02/2018,23.64,160646
14/02/2018,23.5,417551
15/02/2018,23.7,213057
16/02/2018,24.12,159002
19/02/2018,24.92,343894
20/02/2018,26.36,554023
21/02/2018,26.3,289415
22/02/2018,26.08,135567
23/02/2018,26.32,193704
26/02/2018,26.84,165453
27/02/2018,27.32,320609
28/02/2018,26.88,295011
01/03/2018,26.6,137972
02/03/2018,26.64,383755
05/03/2018,28.98,1674729
06/03/2018,27.2,1037048
07/03/2018,26.68,263590
